Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
CITY OF FONTANA,CITY,,34.0922335,-117.435048,SAN BERNARDINO COUNTY,"40,47,83,900","26,47,80,145","14,00,03,755","1,41,89,244","1,58,63,993","1,79,22,886","2,01,67,911","2,19,76,379","2,35,44,180","2,48,40,536","2,47,90,672",,"1,79,22,886","1,97,42,911","2,11,58,977","2,18,67,266",,"1,79,22,886","2,06,13,911","2,33,23,379","2,62,66,180"
CITY OF FORT BRAGG,CITY,,39.445723,-123.8052935,MENDOCINO COUNTY,"3,23,12,575","2,33,85,071","89,27,504","8,73,737","10,04,440","11,58,122","13,05,208","14,40,698","15,60,359","16,47,405","17,25,450",,"11,58,122","12,68,408","13,53,751","13,82,861",,"11,58,122","13,43,008","15,54,798","17,92,059"
CITY OF FORTUNA,CITY,,40.5981867,-124.1572756,HUMBOLDT COUNTY,"3,24,09,255","2,30,62,494","93,46,761","9,06,920","10,36,334","11,90,759","13,27,399","14,63,093","15,83,409","16,70,663","17,48,869",,"11,90,759","12,91,659","13,77,203","14,11,677",,"11,90,759","13,65,099","15,77,393","18,12,109"
CITY OF FOUNTAIN VALLEY,CITY,,33.7090212,-117.9544069,ORANGE COUNTY,"27,55,27,530","19,63,12,820","7,92,14,710","67,67,683","79,44,072","92,39,082","1,04,46,259","1,15,46,886","1,25,31,590","1,32,49,580","1,38,81,569",,"92,39,082","1,01,40,659","1,08,07,378","1,10,15,713",,"92,39,082","1,07,67,159","1,25,08,086","1,44,58,290"
CITY OF FOWLER,CITY,,36.6305058,-119.6784697,FRESNO COUNTY,"1,31,80,259","90,09,382","41,70,877","5,05,360","5,61,482","6,28,751","7,01,379","7,60,380","8,14,755","8,55,174","8,92,845",,"6,28,751","6,87,269","7,31,270","7,59,207",,"6,28,751","7,16,489","8,04,720","9,03,415"
CITY OF FREMONT,CITY,,37.5482697,-121.9885719,ALAMEDA COUNTY,"1,08,12,99,854","70,98,21,551","37,14,78,303","3,41,17,000","3,84,33,182","4,35,35,501","4,83,50,499","5,27,10,774","5,47,45,857","5,76,53,163","6,02,50,118",,"4,35,35,501","4,72,53,499","5,01,02,490","4,94,71,423",,"4,35,35,501","4,95,03,499","5,61,59,774","6,16,58,857"
CITY OF FULLERTON,CITY,,33.8703645,-117.9242123,ORANGE COUNTY,"72,23,65,498","48,83,37,223","23,40,28,275","1,76,58,721","2,05,30,228","2,38,10,361","2,66,64,631","2,94,57,440","3,19,64,983","3,37,69,493","3,53,61,208",,"2,38,10,361","2,59,28,631","2,76,68,695","2,83,30,669",,"2,38,10,361","2,74,36,631","3,17,58,440","3,65,49,983"
CITY OF GALT,CITY,,38.2546373,-121.2999485,SACRAMENTO COUNTY,"6,59,41,637","4,56,40,420","2,03,01,217","23,37,561","26,39,757","29,58,476","33,07,690","36,01,605","38,73,825","36,78,990","38,49,539",,"29,58,476","32,36,090","34,54,025","35,74,506",,"29,58,476","33,83,190","38,28,305","43,29,825"
CITY OF GARDEN GROVE,CITY,,33.7742692,-117.9379952,ORANGE COUNTY,"77,29,02,287","49,93,06,603","27,35,95,684","2,24,55,579","2,56,28,788","2,93,39,981","3,27,50,662","3,58,99,181","3,86,75,377","4,07,89,538","4,26,65,964",,"2,93,39,981","3,19,81,662","3,41,20,247","3,50,95,551",,"2,93,39,981","3,35,57,662","3,83,13,181","4,35,13,377"
CITY OF GARDENA,CITY,,33.8883487,-118.3089624,LOS ANGELES COUNTY,"32,72,30,315","23,09,43,055","9,62,87,260","90,35,633","1,06,32,018","1,22,81,266","1,37,99,135","1,51,70,176","1,63,86,005","1,53,89,560","1,61,25,583",,"1,22,81,266","1,34,44,835","1,43,61,029","1,47,43,364",,"1,22,81,266","1,41,70,435","1,62,79,276","1,86,07,105"
CITY OF GILROY,CITY,,37.0057816,-121.5682751,SANTA CLARA COUNTY,"24,39,65,108","16,46,30,689","7,93,34,419","79,69,554","88,49,038","1,00,39,540","1,11,86,871","1,21,51,067","1,30,33,439","1,37,23,112","1,43,38,216",,"1,00,39,540","1,09,30,871","1,15,69,499","1,18,68,495",,"1,00,39,540","1,14,56,871","1,29,58,067","1,46,55,439"
CITY OF GLENDALE,CITY,,34.1425078,-118.255075,LOS ANGELES COUNTY,"1,80,48,70,995","1,24,61,32,505","55,87,38,490","4,74,46,098","5,44,66,042","6,28,44,374","7,02,70,833","7,72,58,378","8,36,02,160","8,83,00,784","9,24,50,878",,"6,28,44,374","6,83,76,833","7,27,45,113","7,45,54,452",,"6,28,44,374","7,22,60,833","8,31,95,378","9,54,62,160"
CITY OF GLENDORA,CITY,,34.1361187,-117.865339,LOS ANGELES COUNTY,"18,96,80,330","13,49,37,739","5,47,42,591","47,88,900","54,60,097","63,57,307","71,71,490","79,06,562","85,60,109","90,43,804","94,70,925",,"63,57,307","69,64,170","74,02,341","75,49,677",,"63,57,307","73,87,690","85,54,462","98,56,009"
CITY OF GOLETA,CITY,,34.4358294,-119.8276389,SANTA BARBARA COUNTY,"1,32,19,814","1,05,26,155","26,93,659","5,67,850","6,31,230","7,14,762","8,18,713","8,86,379","9,44,988","9,92,354","10,35,896",,"7,14,762","8,02,213","8,67,451","9,10,055",,"7,14,762","8,36,213","9,38,879","10,50,988"
CITY OF GONZALES,CITY,,36.5066295,-121.4443806,MONTEREY COUNTY,"1,22,98,124","95,77,791","27,20,333","3,14,780","3,70,460","4,28,921","4,90,729","5,43,482","5,91,451","6,24,568","6,55,639",,"4,28,921","4,78,280","5,12,264","5,25,946",,"4,28,921","5,06,916","5,91,011","6,85,501"
CITY OF GRAND TERRACE,CITY,,34.0339031,-117.3136544,SAN BERNARDINO COUNTY,"1,44,53,088","96,36,651","48,16,437","4,63,332","5,34,251","5,97,823","6,58,657","7,18,093","7,71,989","6,41,749","6,73,480",,"5,97,823","6,43,257","6,77,585","6,91,251",,"5,97,823","6,73,957","7,66,293","8,69,189"
CITY OF GRASS VALLEY,CITY,,39.2190608,-121.0610606,NEVADA COUNTY,"6,32,30,904","4,49,73,613","1,82,57,291","16,33,852","18,80,039","21,78,626","24,64,961","27,23,159","29,52,216","31,20,619","32,68,577",,"21,78,626","23,94,441","25,57,520","26,12,275",,"21,78,626","25,38,501","29,43,839","33,96,616"
CITY OF GREENFIELD,CITY,,36.3207998,-121.2438138,MONTEREY COUNTY,"1,71,96,670","1,26,96,613","45,00,057","6,17,861","6,43,848","7,34,114","8,32,914","9,10,702","9,80,813","10,08,760","10,54,554",,"7,34,114","8,12,514","8,72,504","9,04,543",,"7,34,114","8,53,414","9,72,002","11,05,613"
CITY OF GRIDLEY,CITY,,39.3637773,-121.6935833,BUTTE COUNTY,"3,18,27,271","2,12,13,919","1,06,13,352","9,94,509","11,20,163","12,72,154","14,18,707","15,51,976","16,70,255","17,56,406","18,36,714",,"12,72,154","13,85,417","14,67,221","15,07,487",,"12,72,154","14,54,047","16,56,976","18,81,255"
CITY OF GROVER BEACH,CITY,,35.1216424,-120.6212821,SAN LUIS OBISPO COUNTY,"3,95,65,451","2,79,24,388","1,16,41,063","11,13,177","13,13,723","15,00,290","15,99,826","17,60,717","19,06,195","20,11,979","21,05,186",,"15,00,290","15,54,606","16,59,093","16,97,339",,"15,00,290","16,45,126","19,00,617","21,83,995"
CITY OF GUADALUPE,CITY,,34.971644,-120.5718363,SANTA BARBARA COUNTY,"1,26,25,081","96,44,144","29,80,937","3,21,513","3,86,149","4,49,646","5,12,410","5,64,893","6,11,624","6,46,560","6,77,720",,"4,49,646","4,97,470","5,31,064","5,43,560",,"4,49,646","5,26,684","6,12,503","7,06,914"
CITY OF GUSTINE,CITY,,37.2577171,-120.9988154,MERCED COUNTY,"98,51,871","69,39,803","29,12,068","3,38,516","3,83,741","4,34,686","4,85,965","4,51,212","4,88,668","5,15,209","5,39,940",,"4,34,686","4,74,905","4,28,605","4,42,834",,"4,34,686","4,97,025","4,85,412","5,57,068"
CITY OF HALF MOON BAY,CITY,,37.4635519,-122.4285862,SAN MATEO COUNTY,"3,73,53,966","2,68,46,373","1,05,07,593","8,27,667","10,30,613","11,12,829","12,01,051","13,01,177","13,91,619","14,62,285","15,18,980",,"11,12,829","11,51,751","11,58,233","10,99,942",,"11,12,829","12,54,451","14,56,277","16,98,719"
CITY OF HANFORD,CITY,,36.3274502,-119.6456844,KINGS COUNTY,"17,18,21,930","12,29,95,916","4,88,26,014","60,36,287","62,91,181","70,88,429","79,07,203","85,90,261","92,03,105","96,98,627","1,01,40,816",,"70,88,429","77,15,703","81,78,593","83,61,165",,"70,88,429","81,08,703","91,94,861","1,04,15,405"
CITY OF HAWAIIAN GARDENS,CITY,,33.8314045,-118.0728424,LOS ANGELES COUNTY,"3,20,73,072","2,27,58,124","93,14,948","12,25,279","13,40,203","14,97,605","13,21,060","14,51,759","15,67,793","16,53,569","17,30,936",,"14,97,605","12,85,060","13,66,236","14,05,519",,"14,97,605","13,60,160","15,66,859","17,98,013"
CITY OF HAWTHORNE,CITY,,33.9164032,-118.3525748,LOS ANGELES COUNTY,"37,85,80,370","26,79,46,332","11,06,34,038","91,50,369","1,01,83,581","1,19,09,844","1,33,87,728","1,48,64,098","1,61,70,231","1,69,42,942","1,77,57,453",,"1,19,09,844","1,29,81,328","1,38,42,525","1,40,89,169",,"1,19,09,844","1,38,14,128","1,61,37,198","1,87,12,531"
CITY OF HAYWARD,CITY,,37.6688205,-122.0807964,ALAMEDA COUNTY,"1,04,55,52,645","64,53,57,332","40,01,95,313","3,15,93,909","3,66,11,346","4,16,93,608","4,64,54,573","5,08,00,090","5,46,22,963","5,75,11,622","6,00,92,511",,"4,16,93,608","4,54,69,573","4,85,21,354","5,00,54,966",,"4,16,93,608","4,74,90,573","5,38,91,090","6,08,00,963"
CITY OF HEALDSBURG,CITY,,38.6104658,-122.8691609,SONOMA COUNTY,"10,97,28,343","7,73,88,502","3,23,39,841","28,32,819","32,84,127","38,02,897","42,79,503","47,27,472","51,25,555","54,17,698","56,73,947",,"38,02,897","41,58,203","44,35,408","45,30,436",,"38,02,897","44,06,903","51,09,172","58,92,055"
CITY OF HEMET,CITY,,33.7475203,-116.9719684,RIVERSIDE COUNTY,"26,83,93,965","17,38,80,297","9,45,13,668","87,62,487","1,03,64,714","1,08,36,601","1,16,00,331","1,22,67,271","1,29,63,569","1,36,91,326","1,43,33,646",,"1,08,36,601","1,13,33,331","1,16,30,555","1,17,01,454",,"1,08,36,601","1,18,81,331","1,31,09,271","1,46,52,569"
CITY OF HERCULES,CITY,,38.0171441,-122.2885808,CONTRA COSTA COUNTY,"5,05,40,541","3,49,84,378","1,55,56,163","18,49,725","20,69,592","23,19,808","25,71,643","23,05,243","22,82,429","24,11,625","25,26,855",,"23,19,808","25,14,743","21,80,179","20,34,091",,"23,19,808","26,27,431","24,76,183","26,27,179"
CITY OF HERMOSA BEACH,CITY,,33.8622366,-118.3995194,LOS ANGELES COUNTY,"15,43,14,679","10,68,08,525","4,75,06,154","58,66,893","59,90,261","52,58,193","54,12,035","60,18,502","65,53,779","69,43,023","72,82,694",,"52,58,193","52,46,135","56,06,984","57,09,294",,"52,58,193","55,86,635","65,41,002","76,01,179"
CITY OF HESPERIA,CITY,,34.4263886,-117.3008784,SAN BERNARDINO COUNTY,"5,04,34,256","3,57,97,732","1,46,36,524","17,71,740","18,44,776","20,78,434","23,26,769","25,39,082","27,34,471","28,80,063","30,09,985",,"20,78,434","22,70,269","24,11,328","24,76,140",,"20,78,434","23,86,169","27,17,382","30,93,071"
CITY OF HIDDEN HILLS,CITY,,34.1602832,-118.6523096,LOS ANGELES COUNTY,"20,57,267","16,07,038","4,50,229","41,227","50,589","60,819","70,785","78,799","85,843","90,918","96,025",,"60,819","67,785","73,171","74,730",,"60,819","72,785","86,799","1,01,843"
CITY OF HIGHLAND,CITY,,34.1283442,-117.2086513,SAN BERNARDINO COUNTY,"1,66,91,202","1,23,13,082","43,78,120","5,18,214","6,05,957","6,87,762","6,44,482","7,13,233","7,74,780","8,18,532","8,58,496",,"6,87,762","6,25,382","6,69,254","6,87,590",,"6,87,762","6,64,582","7,74,533","8,97,280"
CITY OF HOLLISTER,CITY,,36.8524545,-121.4016021,SAN BENITO COUNTY,"10,57,52,035","7,29,71,137","3,27,80,898","32,07,319","34,27,123","39,26,251","44,35,390","48,71,231","52,63,947","55,52,241","58,10,996",,"39,26,251","43,20,590","46,15,844","47,41,650",,"39,26,251","45,54,490","52,29,231","59,82,147"
CITY OF HUGHSON,CITY,,37.6027244,-120.8664811,STANISLAUS COUNTY,"1,02,43,701","72,33,898","30,09,803","2,77,849","3,50,718","3,88,502","3,92,617","4,28,018","4,60,558","4,84,201","5,04,961",,"3,88,502","3,79,587","3,97,290","3,97,960",,"3,88,502","4,05,637","4,67,098","5,37,718"
CITY OF HUNTINGTON BEACH,CITY,,33.6594835,-117.9988026,ORANGE COUNTY,"1,20,42,18,344","79,50,34,994","40,91,83,350","3,53,92,171","3,96,58,999","4,50,66,693","5,00,17,382","5,46,44,174","5,87,54,019","6,19,32,370","6,47,58,691",,"4,50,66,693","4,87,98,382","5,17,05,537","5,27,59,857",,"4,50,66,693","5,12,98,382","5,84,73,174","6,64,17,019"
CITY OF HUNTINGTON PARK,CITY,,33.9816812,-118.2250725,LOS ANGELES COUNTY,"17,64,71,385","12,58,93,093","5,05,78,292","41,27,651","47,81,224","56,30,544","63,82,265","71,11,397","75,31,408","79,72,781","83,62,170",,"56,30,544","61,86,645","66,09,357","65,11,434",,"56,30,544","65,87,985","77,27,557","87,69,418"
CITY OF IMPERIAL,CITY,,32.8475528,-115.5694391,IMPERIAL COUNTY,"1,57,73,692","1,17,00,084","40,73,608","6,01,029","6,59,473","7,44,322","8,37,117","7,92,268","8,53,499","8,99,111","9,40,786",,"7,44,322","8,19,817","7,60,157","7,82,983",,"7,44,322","8,56,417","8,50,368","9,69,799"
CITY OF IMPERIAL BEACH,CITY,,32.5839444,-117.1130849,SAN DIEGO COUNTY,"4,57,86,966","3,37,88,278","1,19,98,688","12,03,711","13,49,238","15,64,510","17,78,653","19,66,854","21,34,727","22,56,963","23,64,566",,"15,64,510","17,24,443","18,42,792","18,57,666",,"15,64,510","18,32,903","21,33,634","24,68,527"
CITY OF INDIAN WELLS,CITY,,33.717631,-116.3407549,RIVERSIDE COUNTY,"2,51,60,284","2,02,14,865","49,45,419","6,07,265","4,30,310","5,00,241","6,07,069","6,84,605","7,66,571","8,18,900","8,65,706",,"5,00,241","5,74,969","5,22,863","5,64,735",,"5,00,241","6,40,169","7,84,805","9,69,071"
CITY OF INDIO,CITY,,33.7205771,-116.2155619,RIVERSIDE COUNTY,"19,18,82,362","12,80,20,331","6,38,62,031","64,79,029","71,29,930","80,50,696","89,50,530","97,46,829","1,04,71,221","1,10,29,199","1,12,48,058",,"80,50,696","87,49,930","93,10,233","95,72,105",,"80,50,696","91,59,930","1,03,76,329","1,17,37,221"
CITY OF INDUSTRY,CITY,,34.0197335,-117.9586754,LOS ANGELES COUNTY,"2,73,84,233","1,88,06,506","85,77,727","6,96,406","7,63,420","8,81,579","9,86,156","10,92,188","11,86,982","12,56,245","13,16,586",,"8,81,579","9,55,856","10,12,147","10,22,691",,"8,81,579","10,17,356","11,86,188","13,75,782"
CITY OF INGLEWOOD,CITY,,33.9616801,-118.3531311,LOS ANGELES COUNTY,"78,30,04,684","54,00,58,001","24,29,46,683","1,79,14,463","2,11,16,270","2,48,98,063","2,79,55,989","3,09,26,828","3,34,31,433","3,53,06,036","3,69,59,877",,"2,48,98,063","2,71,57,989","2,88,95,248","2,93,22,599",,"2,48,98,063","2,87,93,989","3,34,12,828","3,83,67,433"
CITY OF IONE,CITY,,38.3526912,-120.9327177,AMADOR COUNTY,"78,76,188","51,63,529","27,12,659","3,66,572","4,05,749","4,45,409","3,23,951","3,55,969","3,85,058","4,06,293","4,25,547",,"4,45,409","3,15,401","3,37,020","3,44,165",,"4,45,409","3,31,601","3,81,969","4,36,118"
CITY OF IRVINE,CITY,,33.6845673,-117.8265049,ORANGE COUNTY,"59,05,52,472","43,37,59,505","15,67,92,967","2,35,82,493","2,61,59,874","2,89,19,386","3,23,01,989","2,66,11,599","2,88,01,887","3,04,80,233","3,19,55,030",,"2,89,19,386","3,15,87,989","2,52,98,413","2,07,95,325",,"2,89,19,386","3,30,50,989","2,88,76,599","3,33,85,887"
CITY OF IRWINDALE,CITY,,34.1069527,-117.9353413,LOS ANGELES COUNTY,"7,18,19,053","5,21,75,314","1,96,43,739","17,24,043","20,67,318","24,14,992","27,98,872","30,96,043","33,56,815","35,49,019","37,16,891",,"24,14,992","27,16,572","29,04,464","29,46,287",,"24,14,992","28,83,072","33,51,043","38,71,815"
CITY OF JACKSON,CITY,,38.3488023,-120.7741018,AMADOR COUNTY,"1,93,76,928","1,32,81,013","60,95,915","6,15,524","6,99,579","7,92,030","8,83,104","9,65,077","10,38,237","10,90,103","9,87,844",,"7,92,030","8,62,504","9,15,538","9,29,928",,"7,92,030","9,04,804","10,30,477","11,69,737"
CITY OF KERMAN,CITY,,36.7235572,-120.059879,FRESNO COUNTY,"1,45,54,573","1,13,84,188","31,70,385","4,41,219","5,27,674","6,04,763","6,91,194","7,59,453","8,20,094","8,64,730","9,04,572",,"6,04,763","6,73,994","7,26,984","7,54,699",,"6,04,763","7,10,494","8,15,153","9,33,594"
CITY OF KING CITY,CITY,,36.2127439,-121.1260287,MONTEREY COUNTY,"2,05,15,027","1,49,16,900","55,98,127","5,57,470","6,21,461","7,13,946","6,65,981","7,45,232","8,16,637","8,66,873","9,10,047",,"7,13,946","6,41,601","6,83,671","6,93,470",,"7,13,946","6,90,361","8,19,232","9,62,837"
CITY OF KINGSBURG,CITY,,36.5138398,-119.5540175,FRESNO COUNTY,"2,13,73,125","1,43,26,511","70,46,614","7,91,152","8,81,708","9,84,761","10,93,206","11,87,787","12,13,952","12,77,825","13,35,616",,"9,84,761","10,70,716","11,37,038","11,14,017",,"9,84,761","11,16,816","12,56,587","13,56,252"
CITY OF LA CANADA FLINTRIDGE,CITY,,34.2068182,-118.2000277,LOS ANGELES COUNTY,"1,33,04,742","1,01,36,769","31,67,973","3,55,458","4,15,837","4,83,530","5,55,271","6,12,533","6,63,167","7,00,981","7,33,084",,"4,83,530","5,39,171","5,79,126","5,97,458",,"4,83,530","5,71,371","6,62,733","7,64,567"
CITY OF LA HABRA,CITY,,33.9318591,-117.946137,ORANGE COUNTY,"25,01,05,435","17,40,47,842","7,60,57,593","61,57,657","71,93,951","83,74,024","94,72,390","1,04,89,750","1,13,93,544","1,20,51,058","1,26,29,584",,"83,74,024","92,02,490","98,18,401","1,00,44,594",,"83,74,024","97,56,390","1,13,38,650","1,30,95,944"
CITY OF LA HABRA HEIGHTS,CITY,,33.9608461,-117.9506186,LOS ANGELES COUNTY,"55,28,538","42,20,786","13,07,752","1,81,594","1,53,977","1,78,857","2,06,474","2,29,910","2,48,992","2,63,054","2,75,739",,"1,78,857","2,00,354","2,13,747","2,21,142",,"1,78,857","2,14,494","2,51,160","2,91,422"
CITY OF LA MESA,CITY,,32.7678287,-117.0230839,SAN DIEGO COUNTY,"26,40,43,134","17,72,74,793","8,67,68,341","75,52,451","85,67,135","98,29,306","1,09,59,116","1,20,02,160","1,29,32,325","1,36,25,705","1,42,42,396",,"98,29,306","1,06,89,116","1,13,35,896","1,15,99,852",,"98,29,306","1,12,42,116","1,28,44,160","1,46,15,325"
CITY OF LA MIRADA,CITY,,33.9172357,-118.0120086,LOS ANGELES COUNTY,"4,81,22,210","3,55,83,020","1,25,39,190","10,07,625","12,06,309","14,28,668","16,32,750","18,24,312","19,93,750","21,12,979","22,17,519",,"14,28,668","15,76,450","16,81,943","17,07,030",,"14,28,668","16,92,150","20,02,212","23,49,650"
CITY OF LA PALMA,CITY,,33.8463218,-118.0461393,ORANGE COUNTY,"6,83,75,509","4,82,98,612","2,00,76,897","16,84,619","17,53,442","20,55,970","23,19,161","25,86,854","28,20,918","29,89,192","31,35,747",,"20,55,970","22,44,701","23,83,822","24,10,377",,"20,55,970","23,99,721","28,23,524","32,95,318"
CITY OF LA PUENTE,CITY,,34.0200114,-117.9495083,LOS ANGELES COUNTY,"2,03,12,973","1,37,27,928","65,85,045","5,14,005","6,14,301","7,08,284","7,90,192","8,70,823","9,43,585","9,96,387","10,43,335",,"7,08,284","7,68,992","8,13,543","8,24,802",,"7,08,284","8,13,492","9,39,523","10,81,185"
CITY OF LA QUINTA,CITY,,33.6633573,-116.3100095,RIVERSIDE COUNTY,"4,23,99,006","3,03,11,806","1,20,87,200","11,13,801","12,84,275","14,78,356","16,68,775","18,41,955","19,96,850","20,94,177","21,93,956",,"14,78,356","16,21,575","17,31,684","17,49,699",,"14,78,356","17,20,075","19,92,755","23,00,350"
CITY OF LA VERNE,CITY,,34.1008426,-117.7678355,LOS ANGELES COUNTY,"16,48,17,606","11,55,46,772","4,92,70,834","45,15,191","51,57,893","59,53,080","67,11,437","73,92,404","79,94,014","84,40,441","88,35,761",,"59,53,080","65,31,637","69,74,041","71,35,227",,"59,53,080","69,00,237","79,58,604","91,28,614"
CITY OF LAGUNA BEACH,CITY,,33.5427189,-117.7853568,ORANGE COUNTY,"23,99,15,075","17,32,91,693","6,66,23,382","63,54,813","73,51,904","84,37,725","95,34,723","1,04,70,748","1,13,27,797","1,19,60,683","1,25,20,924",,"84,37,725","92,64,023","98,66,942","1,00,99,628",,"84,37,725","98,17,623","1,13,21,148","1,30,30,397"
CITY OF LAGUNA HILLS,CITY,,33.5916433,-117.6986604,ORANGE COUNTY,"1,68,31,617","1,33,03,008","35,28,609","4,01,316","4,85,265","5,68,107","6,56,252","7,28,336","7,92,452","8,37,711","8,78,222",,"5,68,107","6,35,152","6,84,774","7,03,533",,"5,68,107","6,78,352","7,93,736","9,25,052"
CITY OF LAGUNA NIGUEL,CITY,,33.5236744,-117.7149438,ORANGE COUNTY,"3,16,28,590","2,40,87,626","75,40,964","7,94,047","9,42,939","10,94,191","12,52,986","13,85,667","15,05,135","15,91,008","16,67,304",,"10,94,191","12,14,986","13,06,400","13,38,510",,"10,94,191","12,92,986","15,05,667","17,45,935"
CITY OF LAGUNA WOODS,CITY,,33.6101702,-117.7251162,ORANGE COUNTY,"24,34,361","18,13,925","6,20,436","1,11,220","65,545","73,854","87,384","95,882","1,04,467","1,11,072","1,16,628",,"73,854","84,314","82,123","88,437",,"73,854","90,454","1,05,092","1,22,887"
CITY OF LAKE ELSINORE,CITY,,33.6680772,-117.3272615,RIVERSIDE COUNTY,"3,97,98,398","2,81,33,334","1,16,65,064","13,26,389","14,97,681","16,78,825","14,72,651","16,28,848","17,69,489","18,33,888","19,23,364",,"16,78,825","14,27,651","14,95,451","15,17,614",,"16,78,825","15,18,651","17,68,848","20,51,689"
CITY OF LAKE FOREST,CITY,,33.6469437,-117.6861023,ORANGE COUNTY,"2,52,19,524","2,30,27,003","21,92,521","5,29,766","6,29,393","7,29,380","8,79,177","9,87,845","10,85,136","11,51,069","12,08,563",,"7,29,380","8,42,977","7,53,583","8,21,953",,"7,29,380","9,17,477","11,02,545","13,14,636"
CITY OF LAKEPORT,CITY,,39.0429506,-122.9158293,LAKE COUNTY,"2,83,43,208","2,18,59,202","64,84,006","5,19,822","6,26,841","7,50,032","8,66,803","9,76,801","10,74,111","11,41,343","11,99,605",,"7,50,032","8,33,503","8,89,026","8,95,363",,"7,50,032","9,03,203","10,84,901","12,90,211"
CITY OF LAKEWOOD,CITY,,33.8536269,-118.1339563,LOS ANGELES COUNTY,"12,08,65,045","9,24,86,862","2,83,78,183","27,22,627","30,58,519","35,75,309","40,38,181","44,88,207","49,10,613","51,99,441","54,51,735",,"35,75,309","38,96,181","41,50,751","42,20,394",,"35,75,309","41,88,181","49,36,207","58,06,613"
CITY OF LANCASTER,CITY,,34.6867846,-118.1541632,LOS ANGELES COUNTY,"15,13,53,186","9,85,82,761","5,27,70,425","51,34,856","56,91,939","65,04,905","73,45,379","80,34,790","86,44,884","91,07,740","95,21,442",,"65,04,905","71,85,379","77,05,652","79,73,119",,"65,04,905","75,13,379","85,41,790","96,74,884"
CITY OF LARKSPUR,CITY,,37.9340915,-122.5352539,MARIN COUNTY,"5,54,99,127","4,03,13,674","1,51,85,453","13,30,326","15,45,263","17,99,025","20,37,627","22,61,428","24,60,877","26,02,755","27,28,916",,"17,99,025","19,75,087","21,08,683","21,48,425",,"17,99,025","21,03,367","24,59,548","28,57,077"
CITY OF LATHROP,CITY,,37.8227046,-121.27661,SAN JOAQUIN COUNTY,"2,20,02,512","1,69,51,802","50,50,710","5,88,586","7,41,128","8,54,858","9,84,767","10,82,723","11,71,003","12,35,322","12,91,997",,"8,54,858","9,57,667","10,33,243","10,68,256",,"8,54,858","10,12,967","11,66,723","13,40,703"
CITY OF LAWNDALE,CITY,,33.887237,-118.3525744,LOS ANGELES COUNTY,"2,71,43,829","2,03,37,810","68,06,019","6,37,214","7,39,276","8,69,320","9,98,025","11,07,293","12,06,372","12,76,873","13,38,809",,"8,69,320","9,63,815","10,32,267","10,56,371",,"8,69,320","10,29,666","12,08,393","14,09,552"
CITY OF LEMON GROVE,CITY,,32.7425516,-117.0314172,SAN DIEGO COUNTY,"3,01,16,325","2,26,73,499","74,42,826","9,23,194","10,65,967","11,49,220","13,14,154","14,43,306","15,59,181","16,45,490","17,22,291",,"11,49,220","12,78,014","13,71,633","14,17,202",,"11,49,220","13,51,494","15,55,126","17,84,981"
